Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-18;Mujer;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9443;Barrenderos y afines;;
ene-18;Mujer;Carabanchel;Entre 46 y 55 años;Española;9229;Otro personal de limpieza;5220;Vendedores en tiendas y almacenes;9820;Reponedores
ene-18;Hombre;Usera;Entre 26 y 35 años;Española;9811;Peones del transporte de mercancías y descargadores;7231;Pintores y empapeladores;;
ene-18;Hombre;Usera;Entre 56 y 65 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;8412;Conductores asalariados de automóviles, taxis y furgonetas;9601;Peones de obras públicas
ene-18;Mujer;Moratalaz;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5220;Vendedores en tiendas y almacenes;4412;Recepcionistas (excepto de hoteles)
ene-18;Mujer;Villaverde;Entre 36 y 45 años;Española;4113;Empleados de oficina de servicios estadísticos, financieros y bancarios;1411;Directores y gerentes de hoteles;2599;Profesionales del derecho no clasificados bajo otros epígrafes
ene-18;Hombre;Villaverde;Entre 26 y 35 años;Extracomunitaria;5120;Camareros asalariados;9820;Reponedores;9320;Preparadores de comidas rápidas
ene-18;Mujer;Latina;Entre 46 y 55 años;Española;4301;Grabadores de datos;4424;Teleoperadores;;
ene-18;Mujer;Puente De Vallecas;Menor de 25 años;Española;9820;Reponedores;;;;
ene-18;Hombre;Villaverde;Entre 46 y 55 años;Española;7510;Electricistas de la construcción y afines;7510;Electricistas de la construcción y afines;;
ene-18;Mujer;Otro Municipio;Entre 26 y 35 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9310;Ayudantes de cocina
ene-18;Mujer;Villaverde;Entre 56 y 65 años;Comunitaria;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;;
ene-18;Mujer;Centro;Menor de 25 años;Española;3713;Profesionales de apoyo al trabajo y a la educación social;3724;Monitores de actividades recreativas y de entretenimiento;3713;Profesionales de apoyo al trabajo y a la educación social
ene-18;Mujer;Tetuán;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;9100;Empleados domésticos;5220;Vendedores en tiendas y almacenes
ene-18;Hombre;Carabanchel;Entre 36 y 45 años;Española;2624;Especialistas en políticas y servicios de personal y afines;3613;Asistentes de dirección y administrativos;4112;Empleados de control de personal y nóminas
ene-18;Mujer;Carabanchel;Entre 46 y 55 años;Española;3614;Secretarios de centros médicos o clínicas;4424;Teleoperadores;3613;Asistentes de dirección y administrativos
ene-18;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;;;;
ene-18;Mujer;Latina;Entre 46 y 55 años;Española;3203;Supervisores de industrias alimenticias y del tabaco;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;3629;Otros profesionales de apoyo de la Administración Pública para tareas de inspección y control y tareas similares
ene-18;Mujer;Ciudad Lineal;Menor de 25 años;Española;5811;Peluqueros;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-18;Hombre;Vicálvaro;Menor de 25 años;Española;5000;Camareros y cocineros propietarios;;;;
ene-18;Hombre;Carabanchel;Menor de 25 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados;9310;Ayudantes de cocina
ene-18;Hombre;Otro Municipio;Entre 26 y 35 años;Extracomunitaria;5120;Camareros asalariados;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes
ene-18;Mujer;Carabanchel;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4412;Recepcionistas (excepto de hoteles);;
ene-18;Mujer;Villaverde;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;;;;
ene-18;Mujer;San Blas;Entre 36 y 45 años;Extracomunitaria;5721;Cuidadores de niños en guarderías y centros educativos;5722;Cuidadores de niños en domicilios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;5110;Cocineros asalariados
ene-18;Mujer;Carabanchel;Entre 56 y 65 años;Española;2252;Técnicos en educación infantil;5721;Cuidadores de niños en guarderías y centros educativos;5220;Vendedores en tiendas y almacenes
ene-18;Mujer;Arganzuela;Entre 36 y 45 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5821;Auxiliares de vuelo y camareros de avión, barco y tren;5721;Cuidadores de niños en guarderías y centros educativos
ene-18;Mujer;Otro Municipio;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;7510;Electricistas de la construcción y afines;9820;Reponedores
ene-18;Hombre;Usera;Entre 26 y 35 años;Extracomunitaria;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;9820;Reponedores
ene-18;Mujer;Hortaleza;Entre 56 y 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos;9310;Ayudantes de cocina
ene-18;Hombre;San Blas;Entre 36 y 45 años;Extracomunitaria;8412;Conductores asalariados de automóviles, taxis y furgonetas;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
